client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
5f8f0b43deffbbf4bd719657fdb1d1828790dcd1b4376a56bd8e68a6a65f1083c750ad52eeb262bda79f0e13ddd9cfb06f342a8dcb031f35ea38f85a0ca20cca	common_voice_ur_41183648.mp3	15dd05affb9eeb29af7b96c1041165b43d1f28a8117ea9629faa4bdd1f419889	میں پڑھا رہی ہوں		3	0	twenties				ur	
6007f11b2e2cc263b5f9e27ecad2de548381c9b0f641b83a36a97cdb5ae9d98ab6a794995194bae1fff395b3eafadd607b90a3b6f6f9eb0970bf2c3ba435c3ae	common_voice_ur_40903841.mp3	08791b6cf6de0c2a9c14b0fdb0e390cc4c8e2150480e45ab834f1bfd3eceaea6	کوویڈ عراق ہوائی جہازوں میں کمی کا کام کر رہا ہے		2	0					ur	
a5658426ffd7a29b7d6c0d86f694922c7f059304bae8b61be35b543820f4ecbd71dc85e41c93e0dbb4784b3c9f3f98712a689c66c53732f1b554e38f31a2e5ed	common_voice_ur_41154202.mp3	580e46768270448b98736c4b162c9721424f2255c41b0abec3dac52a1069c88f	اپنا دل پیش کروں اپنی وفا پیش کروں		2	1	twenties				ur	
cf9e5195b9d5f24356efa46fae7efdf7145e187a109f85d92d0fcdaaba8767f71adf8ef9f0629a5329c29ecc2ec425b91c41789d1ab28034bc84cad3b824e05d	common_voice_ur_40988989.mp3	07d1bc696122b2159bb45f2bb1bc2d655ff2bddc496fe59c770c84381c1d6249	جرمنی میں ابھی بھی ڈاک کا نظام استعمال کیا جاتا ہے		5	0					ur	
d11f60e4a34e5d2170ea79dab97f3ec6a864df3b9dacafa245b9f8451985b91c476e20a2a2ea7042d1aae0f1517f57ac3cb5ac77a963bd48206274f8878b6745	common_voice_ur_41175465.mp3	1537678bd092729aa03497facfb4a62e838e1397361768e5e05c4bf90b585a37	موسیقی کانوں کو بھلی لگتی ہو۔		4	0	twenties	female_feminine			ur	
ddd989d539cfcafb053afb0fd0ac4538ae16f650903158a13240aea169aa1650d5fe213154080ccf6fd458dbcb7918a79e32bf2b2aed29f93fb66551c1f0dda6	common_voice_ur_41103986.mp3	06c1fe2a5839ef1a021b110953994c46718aacc702c7c87484b080bd1e061a3d	بولی وڈ ولن کے پوتے ہیرو بننے کے لیے تیار		2	0	twenties				ur	
09e0c145ffdf3431a3ccdb5975563ecabe075f8eb1348cd9e40f913f572d5c0cbce37ccaad5dd3ed99bdf42ed6c1bbf90ad663edca10967575efb99f882b4eba	common_voice_ur_41115403.mp3	08e2a3b609ff7f705ade72954b939a800c35c3a3476fb35d3554486505c98c77	وہ اپنے دل کی بات بتا رہے ہیں۔		2	0	twenties				ur	
09e0c145ffdf3431a3ccdb5975563ecabe075f8eb1348cd9e40f913f572d5c0cbce37ccaad5dd3ed99bdf42ed6c1bbf90ad663edca10967575efb99f882b4eba	common_voice_ur_41115420.mp3	05cd017312e4bd4a64223f9122cadee9381e75d3e144754e9fd62e54000893ed	"تحریر میں لکھا گیا ہے کہ "ڈیئر لائبریرین"		2	0	twenties				ur	
1e3f784092ccadfe41a1affeda23dd2c72c0ffddc1ee7413c62b1c707c84062d0abf32c92ca1cdbdcb49e2908d59d0bcfe911dfe248f0cf45c03c76e1aa68c1a	common_voice_ur_41168170.mp3	12c60366047ef3f0f58ab6aab0b26388d73ad4375b7af699a8ec716dfe310c24	انھیں ترکی کی جانب سے جنگی نوعیت کے اشارے		5	2	twenties				ur	
1e3f784092ccadfe41a1affeda23dd2c72c0ffddc1ee7413c62b1c707c84062d0abf32c92ca1cdbdcb49e2908d59d0bcfe911dfe248f0cf45c03c76e1aa68c1a	common_voice_ur_41170050.mp3	137b40d5e4e29b19b3b417d8f41a11fe7286673871baac27d91849fbfc9eb14d	اے انسانوں کی اس دنیا میں رہنے والے لوگو		3	1	twenties				ur	
2d5edb2bbe529290e510f06d6e0b952133da9b819c9b3bacc8f51596aa2ad66b28722e2f4d3813782585d3eb54f64e4488abb4c13aad28b7a356adf243e439cf	common_voice_ur_41169394.mp3	13e6920ba789ae74173846d184e749073bd919871d3909be666f119cd61b1c64	میں امریکی ہوں		3	0	twenties				ur	
2d5edb2bbe529290e510f06d6e0b952133da9b819c9b3bacc8f51596aa2ad66b28722e2f4d3813782585d3eb54f64e4488abb4c13aad28b7a356adf243e439cf	common_voice_ur_41177800.mp3	14fee96ba70ea1df5cae2463be94a56c57479041c45e5d87ceaff6bbd765dbb6	پاک بھارت یا پاک افغان تعلقات؟		2	0	twenties				ur	
79ec84c025b773d941efe1e504278ac8f39259e3f0910ff52b9d3467059ce2e1e96816f9fc6ec53dd2ac0af90649d138d5241a2a6b62aaac4305df6b5591b9af	common_voice_ur_41172548.mp3	001fce2eb05380f46acc9019bae46624c633c21369be2da9461b18afb7edb0f8	غیر ملکیوں سے پیسے لے کر انھیں دوسری جگہ کام کرنے		4	1	twenties				ur	
79ec84c025b773d941efe1e504278ac8f39259e3f0910ff52b9d3467059ce2e1e96816f9fc6ec53dd2ac0af90649d138d5241a2a6b62aaac4305df6b5591b9af	common_voice_ur_41173140.mp3	1389b2c85f8d44e9d22d55674eda41ac01e8de0fdb0a2f17bcaf0bc345ebca83	کیونکہ اس نے اسد حکومت کو گرنے سے بچایا ہے۔		2	0	twenties				ur	
32576042200acbd717a046de31cdb67108a447ef6100f010e403f2dcc3b052180cd86b13fdb3d9fff6f48b7991ee3512a812ffd31e256b20aa3c4832942bc479	common_voice_ur_41156286.mp3	675836678a14109ba4be0d6a04f2753d5a4400e396db1b340e486347fc4ad73f	اس کی عملی مثال مغرب کا معاشرہ ہے۔		2	0	twenties		Native		ur	
32576042200acbd717a046de31cdb67108a447ef6100f010e403f2dcc3b052180cd86b13fdb3d9fff6f48b7991ee3512a812ffd31e256b20aa3c4832942bc479	common_voice_ur_41156311.mp3	1048215e80b644e71d51c807158d3cb470ff5e9b4f1a806a73873b2595eb547f	تین اہداف نگران سیٹ اپ کے سامنے ہوں۔		8	0	twenties		Native		ur	
32576042200acbd717a046de31cdb67108a447ef6100f010e403f2dcc3b052180cd86b13fdb3d9fff6f48b7991ee3512a812ffd31e256b20aa3c4832942bc479	common_voice_ur_41184655.mp3	17e8b54c639477adf105440f141f4bfa6ffee6cfaaad2532c4a596f8d5e4a7f9	انکا قتل کیا ہے		4	0	twenties		Native		ur	
46f3613324de60e1be9ac9357b3c68a9a72aaac0c687155070dde200a11cf8591211f8160a1635ec5284ef54345ac0e00b20bd19c6a0cad75a2e3dd9f20863a3	common_voice_ur_41171212.mp3	1351371ef06d8fe5c904b7bd948861a5f2b964b2b6b67c47d888daf533284e04	ایک یہ کہ پہلے مرحلے میں عوامی سطح پر تبدیلی آتی ہے۔		2	0	twenties				ur	
46f3613324de60e1be9ac9357b3c68a9a72aaac0c687155070dde200a11cf8591211f8160a1635ec5284ef54345ac0e00b20bd19c6a0cad75a2e3dd9f20863a3	common_voice_ur_41171956.mp3	14510284aa1baa6d772040eff72da76d59104dad0cc937dda0c04bd3bbdb74bf	سب حیران ہوئے		3	0	twenties				ur	
46f3613324de60e1be9ac9357b3c68a9a72aaac0c687155070dde200a11cf8591211f8160a1635ec5284ef54345ac0e00b20bd19c6a0cad75a2e3dd9f20863a3	common_voice_ur_41172122.mp3	13df4feb48af48e93f43e0152ea42f39e47b6dea29adbc7a5858487257153035	والد کو پیار کا پتہ چلنے پرعالیہ بھٹ شرمسار		2	0	twenties				ur	
8a6bef4c12c9585c03a51ba37d0f3e4f4f5099a607bf85d16c2bb34481dc8b4757251649b993594a06ec415dd57890066c03b1af87d4c3bab81d295de26a9ebf	common_voice_ur_41156374.mp3	634cbbb1169c072ddf01a9f345b09b7bf4c51de3ac32ab1768e43a80aef369c2	اور درویش کی صدا کیا ہے		2	0	twenties				ur	
8a6bef4c12c9585c03a51ba37d0f3e4f4f5099a607bf85d16c2bb34481dc8b4757251649b993594a06ec415dd57890066c03b1af87d4c3bab81d295de26a9ebf	common_voice_ur_41156461.mp3	0ee981cf8922654eb3e22dbe62f2d930f3f26b750d9e1914d029c48d37370e7a	تو ان کی زبان ویسی ہی ہے۔		2	0	twenties				ur	
8a6bef4c12c9585c03a51ba37d0f3e4f4f5099a607bf85d16c2bb34481dc8b4757251649b993594a06ec415dd57890066c03b1af87d4c3bab81d295de26a9ebf	common_voice_ur_41173511.mp3	03259a9b87b546e139ebcd6e959ac0e140d163ceac91ba123b3a9e1ab887a6c1	نواز شریف کی سیاسی انٹری ڈالی گئی تھی۔		4	1	twenties				ur	
0065d415af3ecedfd174cb88ae6cbbe2b37fc6930ef8936f206394efa03f7c30ba104d5942c5d80ee9be969ab74a837f61d604a42edde74a5d8ceffd71bdfa4f	common_voice_ur_41161498.mp3	132cc43deb6d042e4a310b1b33c080abe01f8156c8e9910be516ff660a8f9c5f	اب شام ڈھلے اور موضوعات دل کو گھیر ے میں لیے رکھتے ہیں۔		5	0	twenties	female_feminine			ur	
0065d415af3ecedfd174cb88ae6cbbe2b37fc6930ef8936f206394efa03f7c30ba104d5942c5d80ee9be969ab74a837f61d604a42edde74a5d8ceffd71bdfa4f	common_voice_ur_41162066.mp3	131de567e62f4bcfd189b4d91b71f64d522294d6e7650a4956b6f713e1a41490	ڈیمی مور کے مباشرت کے دعوے پر اداکار جان کرائر حیران		3	0	twenties	female_feminine			ur	
0065d415af3ecedfd174cb88ae6cbbe2b37fc6930ef8936f206394efa03f7c30ba104d5942c5d80ee9be969ab74a837f61d604a42edde74a5d8ceffd71bdfa4f	common_voice_ur_41162216.mp3	128d0d3d195c8615dfd741a4388626829e0d93926f7a4f4ffca72a737b90b2bc	وہ سخت دل کا ہے۔		5	0	twenties	female_feminine			ur	
0065d415af3ecedfd174cb88ae6cbbe2b37fc6930ef8936f206394efa03f7c30ba104d5942c5d80ee9be969ab74a837f61d604a42edde74a5d8ceffd71bdfa4f	common_voice_ur_41162367.mp3	11a25275d2798facae23561000d419038e52247866b05bc0d411d7801712e6de	ملازمتیں پیدا کرنے کے لیے حکومت کی غیرملکی سرمایہ کاری لانے کی کوشش		2	0	twenties	female_feminine			ur	
6dc760566a1b219aa5229fa1b05408649c4634e0c2e004219f90a439d6fe3355b7ac25d48a5ddf16d9e93c16edd26133001046cef1a7448b4e3d2fd68b9be647	common_voice_ur_41162343.mp3	10ce30bdf869ae45306319f4db7198b82e1cf332c31dbb3d994de06179d7dfa0	غالبا یہ دنیا کا واحد ملک ہے۔		2	0	twenties				ur	
6dc760566a1b219aa5229fa1b05408649c4634e0c2e004219f90a439d6fe3355b7ac25d48a5ddf16d9e93c16edd26133001046cef1a7448b4e3d2fd68b9be647	common_voice_ur_41163150.mp3	12a3d782389052eca7026ca30e6dd58d6ac0cd3173033838cb89214aa011115b	اس کے مقابلے میں شریف زادے کیا ہیں۔		2	0	twenties				ur	
6dc760566a1b219aa5229fa1b05408649c4634e0c2e004219f90a439d6fe3355b7ac25d48a5ddf16d9e93c16edd26133001046cef1a7448b4e3d2fd68b9be647	common_voice_ur_41177523.mp3	15772638e6d2d490210e04b2a0420aff50fa80f4d7f49cb766416a854773a7b4	کون سا شعبہ اس کو اوپر اٹھانے کے لیے آگے آ رہا ہے		3	0	twenties				ur	
